GeneID	perturbed	perturbed	perturbed	control	control
728642	1126	1073	665	669	699
65220	4576	4363	4672	4065	4780
7021	3	0	0	0	0
83741	0	0	0	0	0
9940	54	58	55	68	41
9265	1295	1201	1837	1774	1855
53616	967	827	1515	1926	2360
6856	4942	4474	4846	5997	6123
1534	4451	4360	2846	2572	2441
9043	4674	4236	5560	6713	7736
1951	3580	3310	4466	3814	4742
10157	11838	11378	29941	50873	55330
55200	2177	1983	2150	1600	1955
51188	3410	3334	2364	2506	2449
84954	968	932	776	541	642
4257	20553	19635	16727	19084	20436
1407	2547	2287	2166	2529	2820
8993	5	5	6	7	4
4784	17	32	34	19	34
6482	810	726	943	818	936
64386	931	877	1761	1758	1866
9235	63	41	148	413	79
5310	2355	2308	2852	2396	2794
23542	367	348	233	180	181
9862	10465	9790	8427	6963	7642
23221	929	882	1117	981	1106
54497	2294	2101	2414	2789	3174
7095	3588	3524	3814	6682	5928
6224	94802	89287	63406	49406	54519
7812	56639	52254	59959	68056	74056
9690	9345	8558	8461	9516	9964
5980	498	396	691	1098	1123
10178	45	33	157	265	284
5081	27	29	15	3	12
10747	75	59	89	110	99
389434	0	0	0	0	0
199870	638	615	719	838	1024
80342	8	3	14	8	14
29954	2376	2194	2781	2764	2681
51534	6736	6263	4924	6575	6667
51085	157	119	305	162	301
9031	11100	10146	14653	16178	17583
10048	2825	2459	3221	3271	3571
51513	98	59	73	43	20
83932	834	844	941	1148	1030
51603	7753	7023	6337	7360	6575
8798	590	594	457	453	431
7756	27252	24542	25661	30778	31519
7384	25188	23240	18755	14006	15319
83930	4642	4220	3566	3411	3507
928	13968	13202	14306	10586	11322
57467	12	9	4	10	8
9918	22643	20732	23344	19408	24389
25900	1237	1076	1300	1105	1360
2696	18	9	57	26	72
51533	369	363	383	349	570
56920	294	289	415	414	383
11188	9614	9097	8658	6899	7475
23166	63	81	109	93	150
80199	1638	1526	1158	875	999
6540	1	3	1	1	3
3423	3125	2729	2752	3345	2973
5646	66	93	25	11	16
7752	1552	1489	1376	1409	1110
920	308	231	384	171	345
10233	209	146	156	149	223
695	48	57	39	48	55
3077	88	73	83	81	96
22955	1587	1525	1245	1246	1353
2534	6215	5625	5421	3663	4965
3097	1019	953	1199	1671	1911
2326	32	24	23	19	25
6924	6004	5377	6025	7466	6696
11313	16510	15500	13477	10704	11582
1185	1810	1712	2913	2991	3688
9902	2052	1975	4880	2744	3275
6534	3	2	2	0	1
10867	4687	4367	4390	3423	3983
55727	1882	1697	3640	4449	5066
9546	1327	1391	1230	1167	1313
54903	1735	1733	1508	1394	1487
51099	1317	1297	1185	1308	1292
3730	7085	6627	13614	17060	18855
26993	4628	4180	6302	5070	6925
54799	5598	5185	6479	8858	10466
51096	9742	8917	7393	7862	8623
54476	4616	4170	4718	4012	4866
54902	6559	6045	6172	6657	6667
5725	58869	54884	48507	45699	48600
8193	962	890	913	703	712
9066	1392	1229	1402	722	987
