GeneID	perturbed	perturbed	control	control
7105	861	758	666	689
64102	0	0	0	0
8813	1109	1072	614	405
57147	285	222	314	240
55732	358	330	50	90
2268	452	336	7	4
3075	3227	2715	2030	1752
2519	2541	2164	1487	1650
2729	1067	973	2181	2019
4800	603	389	550	566
90529	386	318	325	363
57185	2809	2203	1919	1897
81887	1263	978	496	430
22875	0	0	0	0
6405	4183	3233	7934	9353
1080	1	0	0	0
54467	1370	1096	1269	1175
1595	3122	2836	2747	2960
889	674	524	594	504
5893	297	218	164	155
572	471	443	565	476
51056	1490	1222	1198	1010
4267	3477	2798	3274	3491
9957	15	15	26	16
26	4	2	17	27
51384	0	0	3	5
23072	49	59	24	24
8379	295	292	245	281
3927	4811	4010	7846	8367
29916	280	279	425	317
55365	0	0	0	0
4074	1363	1200	1176	1017
90293	192	207	418	458
56603	397	289	279	340
3382	435	312	178	170
79007	511	391	565	604
57679	622	439	561	607
843	180	160	111	93
8837	1129	902	1820	1386
7035	1501	1347	1844	1504
55471	542	463	168	164
10181	878	656	1356	973
9108	23	16	20	10
6542	1167	1066	206	234
381	2791	2297	2298	2412
23098	21	19	24	52
26073	3331	2581	2253	2207
23129	184	175	137	174
204	3756	3236	1554	1379
952	0	1	0	0
2288	4260	3426	1330	1362
23028	2909	2339	2119	2033
10180	569	540	603	511
84254	589	471	410	443
5965	1561	1497	640	610
55610	664	563	510	409
126393	2	1	1	0
115703	69	73	35	25
4706	3059	2703	931	924
5166	946	708	483	329
85413	0	0	0	5
51364	7	1	14	37
340273	0	0	0	0
170302	0	0	0	0
10165	407	327	275	370
7982	235	205	196	224
93655	235	205	196	224
996	2670	2192	1399	1257
6521	0	0	0	0
799	0	0	0	0
3052	484	467	487	341
1856	778	644	1181	976
64063	18	3	8	6
5976	3516	2940	2809	2582
8935	853	729	1222	1077
292	10325	8744	7661	6912
55013	1124	1002	504	468
3207	14	2	4	9
5439	710	585	459	484
56919	1250	993	725	573
4222	0	0	0	0
221981	0	0	0	0
3980	794	681	188	206
79657	840	826	361	305
6296	193	194	46	42
81691	135	171	42	40
57019	1282	1089	797	773
56928	828	588	650	599
80256	676	570	732	710
51226	1	1	0	1
5577	20	17	37	44
10943	613	508	389	442
1387	1173	910	1911	2114
9256	0	0	10	5
4353	1	0	0	3
5444	0	0	0	0
6936	849	668	399	268
84058	397	293	302	319
54677	284	227	1770	1287
5244	3	1	3	0
55904	879	679	1403	1117
57414	685	538	1001	945
30812	0	0	0	0
25998	1626	1336	974	778
7748	542	473	378	315
23077	1329	1095	1232	978
26224	717	602	1198	857
3683	0	1	0	0
5164	104	77	421	381
3675	17100	13476	10150	11936
7543	919	648	885	888
3920	4115	3412	5887	4811
3674	8	0	5	9
51666	0	0	0	0
51573	1608	1284	1774	1641
55049	543	419	342	349
9244	13	12	46	75
114881	182	129	208	214
26022	8	5	112	153
51087	52	52	25	46
3883	0	0	0	0
9020	135	104	429	293
6833	0	2	0	0
10368	0	0	0	0
54972	1551	1135	3311	2876
163	8960	7138	8482	8862
6863	0	0	0	0
10127	250	245	307	234
6376	3	0	0	0
64847	680	451	812	873
8913	0	0	0	0
51330	1747	1826	1942	1986
1750	0	0	0	0
4293	681	464	405	293
5898	1583	1255	1198	979
55971	1187	953	750	810
80853	358	300	335	246
2115	412	331	7	3
55750	805	706	485	420
221	1589	1315	2638	2694
55001	310	230	335	390
57157	1179	914	888	681
10344	0	0	1	8
9855	774	586	600	565
10083	0	0	0	1
79017	1789	1630	543	482
10926	663	547	109	114
6915	0	0	0	2
3475	1598	1222	643	525
56891	0	0	0	0
1352	1012	855	382	392
9569	1259	897	971	959
54623	933	768	1029	896
27072	868	783	1718	1339
9912	6	1	1	1
60528	2119	1789	1198	1263
85477	1	3	11	4
414	237	182	638	634
8228	727	682	425	400
8735	0	0	0	0
79602	3058	2562	2260	2418
51265	161	134	78	46
151531	1	0	2	0
10942	461	344	231	234
57787	1126	921	968	991
8842	1	0	3	3
115098	1779	1426	916	980
90273	1	0	0	0
5048	1745	1385	2610	2214
4843	3	0	3	0
1770	12	16	12	11
9703	2106	1644	1852	2028
9058	0	0	0	0
8522	4	3	3	14
79090	133	127	351	238
4145	0	0	1	0
1087	0	0	0	0
974	0	1	0	0
6329	0	0	0	0
54879	208	191	183	147
8277	0	1	0	0
5080	0	1	2	0
113000	833	615	880	913
64285	188	184	594	620
55692	346	226	304	322
9254	26	9	5	5
8938	0	1	20	11
115939	1368	1203	1034	1146
9091	506	402	919	910
57585	729	530	1066	920
7005	244	193	706	640
6401	0	0	0	0
55735	760	587	610	514
2328	0	0	2	0
29116	78	77	281	149
27035	7	1	2	2
1870	29	24	53	35
5689	3380	2906	2859	2564
6853	3	1	4	1
3720	991	639	634	542
6792	173	167	223	231
57172	8	2	2	0
728642	285	195	304	278
65220	1784	1374	1492	1515
7021	0	0	0	0
83741	0	0	0	0
9940	7	1	9	1
9265	855	718	1295	1143
53616	8	2	11	7
6856	4844	4095	1830	1888
1534	1106	910	1252	1126
9043	2317	1807	1593	1435
1951	584	439	919	888
10157	754	548	282	317
55200	11	16	13	19
51188	435	341	196	163
84954	88	76	57	108
4257	6490	5526	5324	5575
1407	111	94	53	45
8993	1	1	0	0
4784	1541	1170	1531	1742
6482	529	381	507	427
64386	6	3	17	5
9235	119	110	196	163
5310	2910	2005	1975	2350
23542	15	4	14	18
9862	7482	6008	713	867
23221	1068	807	1121	1243
54497	994	748	1102	1001
7095	3917	3377	2541	1977
6224	20050	18258	15433	15225
7812	12519	10330	13376	11270
9690	2884	2553	2663	2337
5980	863	610	644	504
10178	0	2	10	11
5081	0	0	0	0
10747	28	11	31	24
389434	0	0	0	0
199870	218	168	133	124
80342	17	10	545	244
29954	700	508	563	627
51534	1968	1721	1283	1022
51085	1	1	2	17
9031	2176	1812	2123	1792
10048	1313	1079	768	695
51513	105	97	193	143
83932	688	559	741	646
51603	1141	1007	996	947
8798	403	431	277	218
7756	2364	1961	3423	3026
7384	13543	11298	7287	7644
83930	1094	980	527	435
928	4240	3708	9203	7948
57467	0	0	1	0
9918	5325	4441	1383	2294
25900	6	9	8	9
2696	1	2	6	10
51533	181	173	84	50
56920	3	1	2	4
11188	1554	979	2004	1941
23166	3	0	0	0
80199	190	126	389	404
6540	0	0	0	0
3423	742	590	1684	1556
5646	2	2	1	3
7752	137	128	123	110
920	4	0	0	2
10233	134	110	87	80
695	1	2	0	0
3077	491	370	370	408
22955	791	663	566	588
2534	12	8	27	33
3097	1099	875	1792	1755
2326	2	3	1	0
6924	754	600	1231	997
11313	1109	1014	1254	1190
1185	476	387	275	245
9902	289	231	1802	1918
6534	0	0	0	0
10867	479	402	544	528
55727	800	640	1167	935
9546	490	320	326	318
54903	231	185	200	168
51099	888	694	1868	1289
3730	0	0	125	103
26993	859	711	965	795
54799	387	290	422	342
51096	1435	1042	440	459
54476	717	593	796	790
54902	1090	936	686	598
5725	8778	7384	6585	5674
8193	14	13	6	12
9066	9	6	141	97
23395	795	754	455	546
5286	1915	1611	1332	1307
5329	348	274	273	189
54443	7128	6002	386	1206
58525	1179	985	1353	1428
