GeneID	control	control	control	control	control	perturbed	perturbed	perturbed	perturbed	perturbed
3674	5	0	0	5	1	2	1	3	11	7
51666	0	0	0	0	0	0	0	0	0	0
51573	5859	4604	5058	9414	8965	4077	3773	5205	6548	4587
55049	1888	1349	1510	1200	1102	1288	1100	1390	911	635
9244	13808	12103	14198	8991	8525	22283	18442	21404	11890	7670
114881	143	109	138	111	154	179	222	262	83	61
26022	3538	2872	3183	4988	4768	2809	2612	3470	3923	2776
51087	0	2	1	7	5	0	2	2	7	0
3883	0	0	0	0	0	0	0	0	0	0
9020	370	274	355	754	729	443	416	564	817	610
6833	0	0	0	1	3	0	0	1	2	3
10368	0	0	0	0	0	0	0	0	0	0
54972	532	402	470	911	876	1012	917	1076	1503	1135
163	7587	6239	7555	8281	7163	8030	7428	9981	5109	3680
6863	30	22	32	229	271	165	117	102	747	757
10127	2394	1892	2160	2339	2245	2525	2122	2993	2682	2002
6376	2	6	2	106	84	105	64	124	486	320
64847	2867	2280	2679	3357	3525	2809	2293	3156	2152	1577
8913	74	46	72	1252	1288	494	455	596	1665	1307
51330	18548	15621	16400	21022	20247	20868	18244	21842	30352	22765
1750	0	0	0	0	1	0	0	0	0	0
4293	6	1	3	7	5	3	3	4	7	4
5898	11826	10596	11269	7461	7048	11677	11238	13177	5287	4258
55971	203	185	281	1137	1063	126	95	123	645	365
80853	1448	1183	1541	2427	2374	1399	1401	1427	2352	1745
2115	712	596	609	1100	1081	4750	4841	6558	3338	2800
55750	1138	976	1154	881	999	1356	1292	1556	875	688
221	882	737	852	520	462	396	364	478	507	246
55001	0	1	0	1	0	1	5	0	0	1
57157	2636	2334	2619	2879	2532	2257	2009	2510	2188	1506
10344	11	5	9	11	21	13	13	12	25	26
9855	2360	2057	2375	3736	4259	2551	2349	3054	3563	2458
10083	0	0	0	14	2	0	0	0	5	3
79017	2066	1529	1704	1359	1336	1835	1584	2110	1477	1016
10926	560	463	477	269	257	879	833	1067	405	392
6915	48	47	70	199	175	115	127	144	179	121
3475	7302	6337	6745	8151	8159	5804	5595	7185	7283	5013
56891	0	0	0	0	0	0	0	0	0	0
1352	503	451	503	578	550	780	746	850	734	595
9569	731	570	726	666	757	645	561	781	602	405
54623	1773	1484	1638	1637	1939	1576	1557	2257	1769	1286
27072	4395	3665	3838	6061	6038	3757	3682	4673	4055	2825
9912	12	1	9	16	20	13	8	10	6	7
60528	2832	2290	2448	3259	3358	2856	2811	3986	3402	2462
85477	12	1	4	49	32	13	5	13	38	28
414	940	753	936	771	780	770	736	1007	865	532
8228	675	553	660	828	822	424	379	438	337	290
8735	0	0	0	1	0	4	0	0	0	0
79602	4625	3807	4428	10347	10824	5358	5300	6507	8812	6547
51265	88	80	91	138	137	96	121	142	130	114
151531	2	4	2	10	5	3	3	1	3	4
10942	3	1	1	1	0	3	4	10	1	0
57787	657	529	708	1688	1549	552	475	554	1431	1012
8842	2	0	0	0	2	1	1	1	0	0
115098	1499	1065	1422	3043	2602	1035	1112	1401	2068	1587
90273	0	0	0	0	2	0	0	0	0	4
5048	12879	10970	12344	18539	19459	11915	11117	14074	14994	11043
4843	0	0	2	1	0	1	2	1	1	4
1770	0	0	0	23	19	5	4	1	69	44
9703	16844	13348	15404	17468	19072	9842	9279	13303	10787	7512
9058	0	0	0	0	0	0	0	0	0	1
8522	4184	3210	4030	9176	9485	7888	6943	8869	7823	5402
79090	510	421	440	610	509	380	302	366	452	294
4145	0	1	0	1	4	5	1	2	2	1
1087	0	0	0	0	0	0	0	0	0	0
974	8	7	7	13	16	21	14	42	28	14
6329	7	5	10	0	3	5	4	0	5	2
54879	1058	832	931	1129	1135	1182	1079	1357	1315	990
8277	0	0	1	0	1	0	0	3	0	0
5080	121	105	121	106	60	42	29	34	73	69
113000	1097	751	879	910	821	890	786	1127	1172	863
64285	1007	827	1007	1925	1742	1606	1369	2044	2093	1368
55692	1766	1466	1707	1912	1958	1589	1407	1835	1974	1397
9254	0	0	2	6	1	1	0	0	5	9
8938	6	1	5	7	12	3	6	2	24	16
115939	3552	2710	3244	2576	2474	2797	2415	3263	2154	1570
9091	837	616	749	642	633	615	541	694	530	391
57585	310	242	286	458	455	346	337	394	598	451
